"raster_name","contig_park","lsi_park","circle_park","district","shannon_index","total_edge","contig","lsi","circle","X4_lpi_0m","X6_lpi_0m","X4_ed_0m","X6_ed_0m","X4_contig_mn_0m","X6_contig_mn_0m","X4_pland_0m","X6_pland_0m","X4_nlsi_0m","X6_nlsi_0m","X4_te_0m","X6_te_0m","X4_np_0m","X6_np_0m","X1_lpi_0m","X1_ed_0m","X1_contig_mn_0m","X1_pland_0m","X1_nlsi_0m","X1_te_0m","X1_np_0m","X2_lpi_0m","X5_lpi_0m","X2_ed_0m","X5_ed_0m","X2_contig_mn_0m","X5_contig_mn_0m","X2_pland_0m","X5_pland_0m","X2_nlsi_0m","X5_nlsi_0m","X2_te_0m","X5_te_0m","X2_np_0m","X5_np_0m","pq_area","pq_PrefReg","Categoria","Mobilidade","Acessibili","Equip_cria","Equip_espo","Sinalizaca","Nota_Infra","Manejo_Con","Residuos_s","Ambientes_","Nota_manej","Nota_segur","Nota_gesta","ID","area","altmean","vol_asum","vol_bsum","alt_bmean","area_agua","ds_codigo","Media_GeoSES","Media_educacao","Media_mobilidade","Media_pobreza","Media_privacao_material","Media_riqueza","Media_renda","Media_segregacao","contig_mn_tree"
"ACLIMACAO","0.995613745795132","1.39377537212449","0.404016182777077","LIBERDADE","11.5035891624677","536.652752334905","0.281714731331598","9.22669826224329","0.538259105563278","89.9806801005035","1.74579817211728","536.652752334905","536.652752334905","0.778196308172357","0.268296310335902","91.0738060202008","8.92619397979919","0.188478340007281","0.203230376877302",5361,5361,9,333,"0","0",NA,"0",NA,0,0,"0","0","0","0",NA,NA,"0","0",NA,NA,0,0,0,0,"136477","SE","Urbano","0.12","0.12","0.16","0.08","0","1","0.25","0.2","0.03","0.5","0.74","0.6",24,"36617.791","16.2855587237363","1512093.77055051","9782.4735173583","5.07919692312236","30487122",49,"0.293570282755517","32.691859733068","48.6900316563906","2.63991864885306","89.5835674293823","29.4041373716702","6866.48014616272","0.234770342179545","0.778196308172357"
"AGUA BRANCA","0.995699136185523","1.4177897574124","0.399277527832689","BARRA FUNDA","11.4428921015968","367.652556584527","0.184333546707831","10.2549019607843","0.507936077902969","89.1947319511648","0.894030185535297","367.652556584527","367.652556584527","0.637294821015547","0.157939186738772","95.9261276850279","4.07387231497207","0.374805343824277","0.359808102345416",3442,3442,31,532,"0","0",NA,"0",NA,0,0,"0","0","0","0",NA,NA,"0","0",NA,NA,0,0,0,0,"137000","LAPA","Urbano","0.11","0.12","0.29","0.05","0.06","1.27","0.3","0.29","0.3","0.89","0.85","0.67",8,"91869.458","16.7326965476202","1554797.98003073","215773.919573117","7.23995809258714","859891",6,"0.415016650369291","38.574122138067","45.4999163246981","3.87560375755193","90.0527213837374","42.8302495488732","8919.48695859987","0.390276250635983","0.637294821015547"
"ALFREDO VOLPI","0.994994884747737","1.61569688768606","0.612106953236415","MORUMBI","11.6901095355401","51.8049991452547","0.22044415750423","2.41621253405995","0.541871249360914","3.07485339259568","0.0884475595162885","50.1698341794073","20.0679336717629","0.430493107376172","0.154822896900696","5.79517329032354","0.164259753387393","0.0334695466043977","0.395631067961165",675,270,6,31,"94.0405669562891","33.3722304393391","0.994409536982151","94.0405669562891","0.0316425120772947",449,1,"0","0","0","0",NA,NA,"0","0",NA,NA,0,0,0,0,"136197","BUTANTA","Urbano","0.09","0.08","0.23","0.04","0.07","1.09","0.37","0.28","0.31","0.97","0.73","0.42",26,"50089.413","13.9869201453721","1875453.6713424","7462.52881406248","9.51853165058989","2381289",54,"0.59241554643895","36.2626282448725","36.5091501734218","7.30696995545171","90.1332879250108","55.7719749432906","21594.7157429233","0.451958410951416","0.712451322179162"
"ALTO DA BOA VISTA","0.990133442544623","1.93665158371041","0.735705444473657","SANTO AMARO","10.6353908341718","424.989200419641","0.288205065559576","4.35147392290249","0.51325099467761","59.6651101557197","0.814596918519738","424.57778783453","298.479830498015","0.537296850159934","0.248646835784966","59.7412214839652","3.08353732540678","0.0325992931464867","0.232534246575342",2064,1451,4,60,"30.8189167506634","126.920782506737","0.976768389597182","37.175241190628","0.00741463414634146",617,2,"0","0","0","0",NA,NA,"0","0",NA,NA,0,0,0,0,"31000","SANTO AMARO","Urbano","0.1","0.03","0","0.02","0.03","0.84","0.31","0.18","0","0.5","0.74","0.24",5,"19053.978","17.6499118176983","834964.378359854","215.476122975349","3.13825111888176","0",71,"0.590886050957288","41.7328169369067","39.3685908196938","0.627311805731473","95.6885364424576","55.926599971254","12509.4645099667","0.539499289218466","0.757032619878558"
"ANHANGUERA","0.99928520542948","1.9094723253187","0.691498796776646","ANHANGUERA","15.81941187236","229.381470464851","0.302870257364866","22.054374289888","0.511342289903806","2.18560734621085","1.31687069294449","186.851108951508","201.64556134807","0.440700866953758","0.226142831244681","7.110422942574","4.4235370504272","0.0682244717584749","0.121950084481228",177272,191308,2833,5292,"55.9723484137809","61.8634938771036","0.362186874595719","87.4335061250045","0.0147075777516534",58692,98,"0.24041512162524","0.13119588841551","5.33869345886202","3.06408329415832","0.795868664329957","0.696106502296251","0.866175345249564","0.166358536744757","0.0255403590181951","0.0399182474292649",5065,2907,15,6,"9599914","PERUS","Urbano","0.11","0.13","0.17","0.08","0.06","1.11","0.33","0.18","0.33","0.85","0.92","0.57",168,"727814.207","22.9126900466446","202525565.187262","125814.559741226","4.77258608404113","18106.15",3,"-0.451087708429894","4.00299096282592","23.5903388343192","12.2944439309524","60.6171642169911","0","2279.80360282445","-0.098609097728319","0.401443870774739"
"BARRAGEM DE GUARAPIRANGA","0.994735382810423","2.43929564411492","0.837000920010424","SOCORRO","12.3215380123508","400.584157984219","0.404343292888841","14.2573068893528","0.529380465265508","2.96874318845634","37.0508740572824","381.141287763198","399.450717119316","0.487086980672747","0.262365143619178","11.8126335062557","83.0703169275034","0.0962052576860241","0.127038539781732",8743,9163,230,142,"0","0",NA,"0",NA,0,0,"4.11395440080213","0","20.5763110859235","0","0.969267795885616",NA,"5.1170495662409","0","0.0149189561030139",NA,472,0,2,0,"290935","CAPELA DO SOCORRO","Urbano","0.1","0.07","0.27","0.07","0.04","1.07","0.28","0.26","0.34","0.89","0.88","0.39",27,"80266.305","10.9230115642215","308577.807442149","827.351741492748","3.50572771818961","0",79,"0.164839712670636","22.9817010396973","34.5940369713562","3.90167581363747","91.6301854344781","14.4664248780722","9350.37272527546","0.233538400521198","0.487086980672747"
"BENEMERITO JOSE BRAS","0.987900323857503","1.66889632107023","0.656680878610647","BRAS","9.5352282576165","1288.51739038039","0.499162973165858","10.1617647058824","0.545030857657041","10.0587943614082","18.0279096125239","1288.51739038039","1288.51739038039","0.636900071654841","0.398811658552456","48.1192888007367","51.8807111992633","0.103941584084643","0.116658139024925",1819,1819,51,70,"0","0",NA,"0",NA,0,0,"0","0","0","0",NA,NA,"0","0",NA,NA,0,0,0,0,"22233","MOOCA","Urbano","0.08","0.04","0.29","0.08","0.05","1.16","0.33","0.21","0","0.55","0.81","0.48",76,"82685.199","6.82330557477852","48989.6282005161","5361.83874320984","4.03449115365676","0",10,"-0.114836872507915","10.9970336009603","45.1193571933151","7.92826588038069","79.7104721923236","4.19987312035109","3355.53981454526","0.016816967765964","0.636900071654841"
"BUENOS AIRES","0.990507165899836","1.32704402515723","0.433646517257182","CONSOLACAO","10.0366878415286","393.353974968383","0.227734714657257","4.46534653465347","0.486688990200725","96.1100693384501","0.719549954210458","393.353974968383","393.353974968383","0.787024049317666","0.203417787063327","96.515633858096","3.48436614190397","0.384911470361817","0.291369240752758",902,902,3,69,"0","0",NA,"0",NA,0,0,"0","0","0","0",NA,NA,"0","0",NA,NA,0,0,0,0,"25214","SE","Urbano","0.11","0.14","0.35","0.05","0.06","1.43","0.23","0.16","0.37","0.78","0.96","0.67",44,"26039.944","13.6031210538618","308324.941026568","4963.99940617383","4.71191210837572","0",26,"0.648920601212583","46.7470377753355","44.0420942259193","0.487507038098551","96.4291839332607","60.6361362004469","12447.0623524817","0.510173695124419","0.787024049317666"
"BURLE MARX","0.99270058002341","2.77347417840376","0.612554851959082","VILA ANDRADE","12.0709122162111","146.511787124307","0.217227031264862","5.36992840095465","0.488640290010096","70.7073415641617","1.12165955407472","146.511787124307","146.511787124307","0.535094691835508","0.195412583970798","96.8797781784157","3.12022182158424","0.222380207592777","0.155977757182576",2568,2568,14,204,"0","0",NA,"0",NA,0,0,"0","0","0","0",NA,NA,"0","0",NA,NA,0,0,0,0,"46340","CAMPO LIMPO","Urbano","0.13","0.12","0.3","0.02","0.04","1.53","0.39","0.35","0.33","1.08","1.08","0.69",45,"98279.132","18.1280902580914","3097456.14194879","7527.92380880809","10.4028420741505","1215.32",83,"-0.030423985503632","22.2303721427348","27.5293016880396","16.4621387825816","75.7316451314646","35.5993719157809","8732.68746794885","0.144805319119263","0.535094691835508"
"CANDIDO PORTINARI","0.996108203230755","1.27534246575342","0.505398068562853","ALTO DE PINHEIROS","11.1546873018582","810.768552869103","0.468066883956337","19.5009416195857","0.534900237282143","0.632524554745356","21.7289952098702","810.768552869103","810.768552869103","0.497730236215331","0.391755518064248","11.1892883032706","88.8107116967294","0.22093023255814","0.366030442135782",5704,5704,319,124,"0","0",NA,"0",NA,0,0,"0","0","0","0",NA,NA,"0","0",NA,NA,0,0,0,0,"121670","PINHEIROS","Urbano","0.13","0.14","0.23","0.08","0.08","1.26","0.25","0.15","0.22","0.62","0.9","0.61",11,"186994.365","5.43322048691332","47139.9792495817","21120.4233565703","4.97017775175188","0",2,"0.775501679635104","46.5329237750076","50.7462276785987","0.670100083494507","95.5729310472491","67.5668235156343","15171.5809006587","0.611255328917109","0.497730236215331"
